BallotID,PrecinctID,BallotStyleID,Status,Remade,Choice_1_0,Choice_1_1,Choice_1_2,Choice_1_3,Choice_1_4,Choice_1_5,Choice_2_0,Choice_2_1,Choice_2_2,Choice_2_3,Choice_2_4,Choice_2_5,Choice_3_0,Choice_3_1,Choice_3_2,Choice_3_3,Choice_3_4,Choice_3_5
ED-001+10003,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ED-001+10005,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
ED-001+10007,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
ED-001+10009,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
ED-001+10011,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
ED-001+10013,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
ED-001+10015,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
ED-001+10017,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
ED-001+10019,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
ED-001+10021,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
ED-001+10023,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
ED-001+10025,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
ED-001+10027,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
ED-001+10029,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
ED-001+10031,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
ED-001+10033,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
ED-001+10035,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
ED-001+10037,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
ED-001+10039,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
